year,industry1,industry2,industry3,incidence_of_retrenchment
2004,manufacturing,electrical products,electrical products,48.8
2004,manufacturing,electronic products,electronic products,19.3
2004,manufacturing,medical and precision instruments,medical and precision instruments,15.8
2004,manufacturing,transport equipment,transport equipment,2.5
2004,manufacturing,other manufacturing industries,other manufacturing industries,25.5
2004,construction,construction,construction,3.3
2004,services,wholesale and retail trade,wholesale trade,10.7
2004,services,wholesale and retail trade,retail trade,5.1
2004,services,transport and storage,land transport and supporting services,3.1
2004,services,transport and storage,water transport and supporting services,4.6
2004,services,transport and storage,air transport and supporting services,32.5
2004,services,transport and storage,other transport and storage services,4.5
2004,services,hotels and restaurants,hotels,17.6
2004,services,hotels and restaurants,restaurants,6.3
2004,services,information and communications,broadcasting and publishing,15.2
2004,services,information and communications,telecommunications,13
2004,services,information and communications,it and other information services,12.4
2004,services,financial services,financial institutions,15
2004,services,financial services,insurance,9.4
2004,services,real estate and leasing services,real estate and leasing services,3
2004,services,professional services,"legal, accounting and management services",5.1
2004,services,professional services,architectural and engineering services,5.1
2004,services,professional services,other professional services,3.8
2004,services,administrative and support services,administrative and support services,3.5
2004,services,"community, social and personal services",education,4.3
2004,services,"community, social and personal services","health, social and community services",0.3
2004,services,"community, social and personal services","other community, social and personal services",8.2
2004,others,others,others,28.3
2005,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",5.8
2005,manufacturing,paper products and printing,paper products and printing,4.4
2005,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",6.9
2005,manufacturing,rubber and plastic products,rubber and plastic products,39.2
2005,manufacturing,fabricated metal products,fabricated metal products,13.9
2005,manufacturing,machinery and equipment,machinery and equipment,9.9
2005,manufacturing,electrical products,electrical products,48
2005,manufacturing,electronic products,electronic products,43.6
2005,manufacturing,medical and precision instruments,medical and precision instruments,8.3
2005,manufacturing,transport equipment,transport equipment,0.4
2005,manufacturing,other manufacturing industries,other manufacturing industries,26.5
2005,construction,construction,construction,4.3
2005,services,wholesale and retail trade,wholesale trade,8.4
2005,services,wholesale and retail trade,retail trade,2.4
2005,services,transport and storage,land transport and supporting services,1.7
2005,services,transport and storage,water transport and supporting services,2
2005,services,transport and storage,air transport and supporting services,2.5
2005,services,transport and storage,other transport and storage services,5.7
2005,services,hotels and restaurants,hotels,0.2
2005,services,hotels and restaurants,restaurants,1.8
2005,services,information and communications,broadcasting and publishing,24.1
2005,services,information and communications,telecommunications,25
2005,services,information and communications,it and other information services,7.5
2005,services,financial services,financial institutions,9.8
2005,services,financial services,insurance,2.6
2005,services,real estate and leasing services,real estate and leasing services,2.6
2005,services,professional services,"legal, accounting and management services",3.8
2005,services,professional services,architectural and engineering services,11.8
2005,services,professional services,other professional services,2.2
2005,services,administrative and support services,administrative and support services,2
2005,services,"community, social and personal services",education,0.5
2005,services,"community, social and personal services","health, social and community services",5.5
2005,services,"community, social and personal services","other community, social and personal services",2.7
2005,others,others,others,1.4
2006,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",8.4
2006,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",8.5
2006,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",5.5
2006,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",12.7
2006,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",62.9
2006,manufacturing,transport equipment,transport equipment,1.4
2006,manufacturing,other manufacturing industries,other manufacturing industries,14.8
2006,construction,construction,construction,3.5
2006,services,wholesale and retail trade,wholesale trade,9
2006,services,wholesale and retail trade,retail trade,1.2
2006,services,transportation and storage,land transport and supporting services,1.5
2006,services,transportation and storage,water transport and supporting services,4.4
2006,services,transportation and storage,air transport and supporting services,5.9
2006,services,transportation and storage,other transportation services,4.1
2006,services,accommodation and food services,accommodation,4.6
2006,services,accommodation and food services,food and beverage services,3
2006,services,information and communications,"telecommunications, broadcasting and publishing",23.3
2006,services,information and communications,it and other information services,5.4
2006,services,financial and insurance services,financial services,5
2006,services,financial and insurance services,insurance services,1.3
2006,services,real estate services,real estate services,3.6
2006,services,professional services,"legal, accounting and management services",6.2
2006,services,professional services,architectural and engineering services,1.4
2006,services,professional services,other professional services,3.4
2006,services,administrative and support services,security and investigation,0.2
2006,services,administrative and support services,cleaning and landscaping,0.9
2006,services,administrative and support services,other adminstrative and support services,11.4
2006,services,"community, social and personal services",public administration and education,1.4
2006,services,"community, social and personal services",health and social services,2.3
2006,services,"community, social and personal services","arts, entertainment and recreation",3.6
2006,services,"community, social and personal services","other community, social and personal services",2.2
2006,others,others,others,4.8
2007,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",7.7
2007,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",14.1
2007,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",2.3
2007,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",11.2
2007,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",22.9
2007,manufacturing,transport equipment,transport equipment,1.1
2007,manufacturing,other manufacturing industries,other manufacturing industries,46.7
2007,construction,construction,construction,0.5
2007,services,wholesale and retail trade,wholesale trade,9.7
2007,services,wholesale and retail trade,retail trade,2
2007,services,transportation and storage,land transport and supporting services,1.6
