quarter,industry1,industry2,industry3,total_paid_hours
2004-Q3,manufacturing,electrical products,electrical products,49.7
2004-Q3,manufacturing,electronic products,electronic products,47.8
2004-Q3,manufacturing,medical and precision instruments,medical and precision instruments,48.7
2004-Q3,manufacturing,transport equipment,transport equipment,53.2
2004-Q3,manufacturing,other manufacturing industries,other manufacturing industries,50
2004-Q3,construction,construction,construction,51.5
2004-Q3,services,wholesale and retail trade,wholesale trade,43.4
2004-Q3,services,wholesale and retail trade,retail trade,42.9
2004-Q3,services,transport and storage,land transport and supporting services,47.3
2004-Q3,services,transport and storage,water transport and supporting services,45.5
2004-Q3,services,transport and storage,air transport and supporting services,43.4
2004-Q3,services,transport and storage,other transport and storage services,47
2004-Q3,services,hotels and restaurants,hotels,45.2
2004-Q3,services,hotels and restaurants,restaurants,35.9
2004-Q3,services,information and communications,broadcasting and publishing,41.4
2004-Q3,services,information and communications,telecommunications,42.6
2004-Q3,services,information and communications,it and other information services,41.8
2004-Q3,services,financial services,financial institutions,43.2
2004-Q3,services,financial services,insurance,39.8
2004-Q3,services,real estate and leasing services,real estate and leasing services,44.8
2004-Q3,services,professional services,"legal, accounting and management services",41.7
2004-Q3,services,professional services,architectural and engineering services,46.6
2004-Q3,services,professional services,other professional services,42.8
2004-Q3,services,administrative and support services,administrative and support services,49.9
2004-Q3,services,"community, social and personal services",education,37.4
2004-Q3,services,"community, social and personal services","health, social and community services",41.8
2004-Q3,services,"community, social and personal services","other community, social and personal services",43
2004-Q3,others,others,others,46.3
2004-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.9
2004-Q4,manufacturing,paper products and printing,paper products and printing,50.7
2004-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45.2
2004-Q4,manufacturing,rubber and plastic products,rubber and plastic products,50.5
2004-Q4,manufacturing,fabricated metal products,fabricated metal products,52
2004-Q4,manufacturing,machinery and equipment,machinery and equipment,51.4
2004-Q4,manufacturing,electrical products,electrical products,48.3
2004-Q4,manufacturing,electronic products,electronic products,47.4
2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,50
2004-Q4,manufacturing,transport equipment,transport equipment,52.6
2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,50.5
2004-Q4,construction,construction,construction,51.8
2004-Q4,services,wholesale and retail trade,wholesale trade,43.8
2004-Q4,services,wholesale and retail trade,retail trade,43.1
2004-Q4,services,transport and storage,land transport and supporting services,47.3
2004-Q4,services,transport and storage,water transport and supporting services,45.1
2004-Q4,services,transport and storage,air transport and supporting services,42.6
2004-Q4,services,transport and storage,other transport and storage services,47.3
2004-Q4,services,hotels and restaurants,hotels,45.5
2004-Q4,services,hotels and restaurants,restaurants,35
2004-Q4,services,information and communications,broadcasting and publishing,41.3
2004-Q4,services,information and communications,telecommunications,42.8
2004-Q4,services,information and communications,it and other information services,41.8
2004-Q4,services,financial services,financial institutions,43.2
2004-Q4,services,financial services,insurance,40.1
2004-Q4,services,real estate and leasing services,real estate and leasing services,45
2004-Q4,services,professional services,"legal, accounting and management services",41.7
2004-Q4,services,professional services,architectural and engineering services,47
2004-Q4,services,professional services,other professional services,41.1
2004-Q4,services,administrative and support services,administrative and support services,51.8
2004-Q4,services,"community, social and personal services",education,37.3
2004-Q4,services,"community, social and personal services","health, social and community services",42.1
2004-Q4,services,"community, social and personal services","other community, social and personal services",43
2004-Q4,others,others,others,46.7
2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.2
2005-Q1,manufacturing,paper products and printing,paper products and printing,51.1
2005-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",45
2005-Q1,manufacturing,rubber and plastic products,rubber and plastic products,50
2005-Q1,manufacturing,fabricated metal products,fabricated metal products,52.3
2005-Q1,manufacturing,machinery and equipment,machinery and equipment,51.2
2005-Q1,manufacturing,electrical products,electrical products,48.4
2005-Q1,manufacturing,electronic products,electronic products,48.3
2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,49.4
2005-Q1,manufacturing,transport equipment,transport equipment,52.9
2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,49.4
2005-Q1,construction,construction,construction,51.7
2005-Q1,services,wholesale and retail trade,wholesale trade,43.6
2005-Q1,services,wholesale and retail trade,retail trade,42.9
2005-Q1,services,transport and storage,land transport and supporting services,47.3
2005-Q1,services,transport and storage,water transport and supporting services,45
2005-Q1,services,transport and storage,air transport and supporting services,44.1
2005-Q1,services,transport and storage,other transport and storage services,47.1
2005-Q1,services,hotels and restaurants,hotels,45.6
2005-Q1,services,hotels and restaurants,restaurants,34.7
2005-Q1,services,information and communications,broadcasting and publishing,41
2005-Q1,services,information and communications,telecommunications,43
2005-Q1,services,information and communications,it and other information services,41.8
